applicant_id,group,income,credit_score,years_employed,debt_to_income,nontraditional_gig,historical_approval
APP-1000,Group A,78554.02,643.0,8.1,0.329,0,1
APP-1001,Group B,75152.84,,,0.423,1,1
APP-1002,Group B,59733.13,653.0,4.7,0.232,1,1
APP-1003,Group A,83932.79,699.0,10.4,0.274,0,1
APP-1004,Group A,93765.68,684.0,7.3,0.243,0,1
APP-1005,Group A,54150.3,774.0,6.2,0.291,0,1
APP-1006,Group A,103939.56,720.0,10.1,0.161,1,1
APP-1007,Group B,27709.66,678.0,5.8,0.365,1,1
APP-1008,Group B,42688.81,,,0.324,1,1
APP-1009,Group B,21727.23,526.0,1.8,0.439,0,1
APP-1010,Group A,48110.99,664.0,4.0,0.219,0,1
APP-1011,Group B,18000.0,,1.3,0.428,1,1
APP-1012,Group B,69717.8,626.0,3.9,0.427,1,1
APP-1013,Group A,98342.06,791.0,2.3,0.286,0,1
APP-1014,Group A,62537.19,682.0,5.1,0.375,0,1
APP-1015,Group A,67532.01,651.0,9.4,0.364,0,1
APP-1016,Group A,63955.54,742.0,7.6,0.159,0,1
APP-1017,Group A,58197.8,718.0,5.9,0.327,0,1
APP-1018,Group A,80717.31,727.0,9.0,0.441,0,1
APP-1019,Group A,40029.06,647.0,9.7,0.204,0,1
APP-1020,Group B,42683.0,655.0,4.0,0.479,1,1
APP-1021,Group A,99112.56,727.0,11.0,0.189,0,1
APP-1022,Group A,86678.56,692.0,8.8,0.369,1,1
APP-1023,Group A,83112.35,746.0,8.5,0.349,0,1
APP-1024,Group A,102643.18,742.0,6.5,0.292,0,1
APP-1025,Group B,39588.27,672.0,5.0,0.4,1,1
APP-1026,Group A,78821.98,712.0,2.9,0.34,0,1
APP-1027,Group A,104902.67,721.0,7.8,0.248,0,1
APP-1028,Group A,73094.09,724.0,8.8,0.295,0,1
APP-1029,Group A,78510.92,730.0,6.4,0.248,0,1
APP-1030,Group B,54393.45,,7.0,0.208,0,1
APP-1031,Group A,82342.05,684.0,6.6,0.117,0,1
APP-1032,Group A,63896.01,804.0,2.7,0.104,0,1
APP-1033,Group B,63675.45,704.0,6.8,0.491,0,1
APP-1034,Group B,63703.62,634.0,8.6,0.253,0,1
APP-1035,Group B,68161.99,627.0,,0.293,0,1
APP-1036,Group A,49969.21,782.0,6.8,0.369,1,1
APP-1037,Group A,80393.39,698.0,9.1,0.338,0,1
APP-1038,Group B,63569.01,726.0,4.5,0.431,1,1
APP-1039,Group A,54385.65,708.0,8.1,0.219,0,1
APP-1040,Group A,74196.84,638.0,7.4,0.226,0,1
APP-1041,Group A,62307.9,760.0,6.2,0.278,0,1
APP-1042,Group A,65953.87,589.0,2.2,0.341,0,1
APP-1043,Group B,58698.37,671.0,3.9,0.303,0,1
APP-1044,Group A,74927.95,652.0,11.5,0.35,0,1
APP-1045,Group B,36226.26,,,0.351,0,0
APP-1046,Group A,54967.6,696.0,12.4,0.331,0,1
APP-1047,Group A,65130.74,688.0,7.8,0.216,0,1
APP-1048,Group A,76192.61,678.0,9.1,0.311,0,1
APP-1049,Group A,63410.73,764.0,7.3,0.356,0,1
APP-1050,Group B,89354.7,,8.3,0.38,0,1
APP-1051,Group B,33431.63,606.0,,0.473,1,1
APP-1052,Group B,83095.78,,4.1,0.372,0,1
APP-1053,Group B,42959.4,654.0,6.7,0.349,1,1
APP-1054,Group A,65336.27,789.0,3.3,0.163,1,1
APP-1055,Group B,23887.48,770.0,,0.538,1,1
